"","x","y","label","col","cex","angle","hjust","vjust"
"6",190.066983309659,-0.025,"Complex-6","black",3.5,45,1,0.5
"7",483.590219567435,-0.025,"LinearUp-1","black",3.5,45,1,0.5
"8",735.516951932252,-0.025,"Complex-7","black",3.5,45,1,0.5
"9",979.1463467556,-0.025,"LinearUp-2","black",3.5,45,1,0.5
"10",1332.43012335087,-0.025,"LinearUp-3","black",3.5,45,1,0.5
"11",1535.09389885367,-0.025,"LinearUp-4","black",3.5,45,1,0.5
"12",1944.18148469481,-0.025,"LinearUp-5","black",3.5,45,1,0.5
"13",2332.00808057598,-0.025,"Complex-8","black",3.5,45,1,0.5
"14",2428.14062180165,-0.025,"LinearUp-6","black",3.5,45,1,0.5
"15",2550.63449084897,-0.025,"LinearUp-7","black",3.5,45,1,0.5
"16",2779.65710372342,-0.025,"LinearUp-8","black",3.5,45,1,0.5
"17",2978.05778113595,-0.025,"Complex-9","black",3.5,45,1,0.5
"18",3051.4334047379,-0.025,"Complex-10","black",3.5,45,1,0.5
"19",3139.06209647223,-0.025,"Complex-11","black",3.5,45,1,0.5
"20",3271.05720075544,-0.025,"LinearDown-1","black",3.5,45,1,0.5
"21",3402.11120024182,-0.025,"LinearDown-2","black",3.5,45,1,0.5
"22",3616.41643444673,-0.025,"LinearDown-3","black",3.5,45,1,0.5
"23",3912.97678993565,-0.025,"LinearDown-4","black",3.5,45,1,0.5
"24",4253.05567610987,-0.025,"LinearDown-5","black",3.5,45,1,0.5
"25",4572.97488615994,-0.025,"Complex-12","black",3.5,45,1,0.5
"26",5342.64682209835,-0.025,"LinearDown-6","black",3.5,45,1,0.5
"27",6030.61848532187,-0.025,"Complex-13","black",3.5,45,1,0.5
"28",6100.55036606475,-0.025,"Complex-14","black",3.5,45,1,0.5
"29",54.8584022219989,-0.025,"Complex-1:5","black",3.5,45,1,0.5
